order_id,inventory_id,product_id_x,stock_level,reorder_level,supply_id,product_id_y,supplier_name,supply_quantity
1,1,1,39,7,1,1,Supplier 1,5
2,2,2,37,13,2,2,Supplier 2,15
3,3,3,39,12,3,3,Supplier 3,6
4,4,4,18,8,4,4,Supplier 4,15
5,5,5,7,12,5,5,Supplier 5,8
6,6,6,24,8,6,6,Supplier 6,14
7,7,7,32,6,7,7,Supplier 7,7
8,8,8,44,5,8,8,Supplier 8,13
9,9,9,39,6,9,9,Supplier 9,7
10,10,10,40,5,10,10,Supplier 10,9
11,11,11,47,13,11,11,Supplier 11,19
12,12,12,36,13,12,12,Supplier 12,17
13,13,13,42,10,13,13,Supplier 13,13
14,14,14,16,8,14,14,Supplier 14,7
15,15,15,26,8,15,15,Supplier 15,14
16,16,16,40,6,16,16,Supplier 16,13
17,17,17,16,5,17,17,Supplier 17,12
18,18,18,46,11,18,18,Supplier 18,15
19,19,19,32,6,19,19,Supplier 19,16
20,20,20,30,11,20,20,Supplier 20,17
21,21,21,20,14,21,21,Supplier 21,13
22,22,22,23,10,22,22,Supplier 22,7
23,23,23,15,12,23,23,Supplier 23,8
24,24,24,44,5,24,24,Supplier 24,17
25,25,25,19,6,25,25,Supplier 25,8
26,26,26,34,9,26,26,Supplier 26,18
27,27,27,27,14,27,27,Supplier 27,11
28,28,28,45,10,28,28,Supplier 28,5
29,29,29,34,6,29,29,Supplier 29,15
30,30,30,17,11,30,30,Supplier 30,8
31,31,31,23,10,31,31,Supplier 31,11
32,32,32,27,9,32,32,Supplier 32,16
33,33,33,13,9,33,33,Supplier 33,8
34,34,34,48,9,34,34,Supplier 34,14
35,35,35,23,12,35,35,Supplier 35,11
36,36,36,30,7,36,36,Supplier 36,8
37,37,37,5,7,37,37,Supplier 37,7
38,38,38,39,11,38,38,Supplier 38,7
39,39,39,33,10,39,39,Supplier 39,7
40,40,40,49,8,40,40,Supplier 40,11
41,41,41,34,5,41,41,Supplier 41,9
42,42,42,28,13,42,42,Supplier 42,16
43,43,43,1,13,43,43,Supplier 43,11
44,44,44,4,6,44,44,Supplier 44,5
45,45,45,21,13,45,45,Supplier 45,9
46,46,46,8,12,46,46,Supplier 46,18
47,47,47,33,10,47,47,Supplier 47,14
48,48,48,35,12,48,48,Supplier 48,7
49,49,49,48,14,49,49,Supplier 49,6
50,50,50,35,9,50,50,Supplier 50,17
51,51,51,25,5,51,51,Supplier 51,11
52,52,52,5,12,52,52,Supplier 52,6
53,53,53,1,7,53,53,Supplier 53,12
54,54,54,35,8,54,54,Supplier 54,17
55,55,55,7,14,55,55,Supplier 55,10
56,56,56,1,10,56,56,Supplier 56,11
57,57,57,1,9,57,57,Supplier 57,6
58,58,58,7,5,58,58,Supplier 58,15
59,59,59,25,9,59,59,Supplier 59,11
60,60,60,36,10,60,60,Supplier 60,18
61,61,61,13,13,61,61,Supplier 61,11
62,62,62,44,6,62,62,Supplier 62,11
63,63,63,27,9,63,63,Supplier 63,11
64,64,64,32,13,64,64,Supplier 64,16
65,65,65,43,5,65,65,Supplier 65,7
66,66,66,19,6,66,66,Supplier 66,10
67,67,67,34,6,67,67,Supplier 67,19
68,68,68,45,13,68,68,Supplier 68,7
69,69,69,36,14,69,69,Supplier 69,7
70,70,70,16,9,70,70,Supplier 70,8
71,71,71,48,14,71,71,Supplier 71,7
72,72,72,42,5,72,72,Supplier 72,17
73,73,73,43,8,73,73,Supplier 73,18
74,74,74,3,5,74,74,Supplier 74,14
75,75,75,8,12,75,75,Supplier 75,8
76,76,76,19,5,76,76,Supplier 76,13
77,77,77,46,13,77,77,Supplier 77,10
78,78,78,0,6,78,78,Supplier 78,9
79,79,79,20,7,79,79,Supplier 79,10
80,80,80,32,13,80,80,Supplier 80,16
81,81,81,34,10,81,81,Supplier 81,6
82,82,82,43,13,82,82,Supplier 82,16
83,83,83,5,7,83,83,Supplier 83,19
84,84,84,21,6,84,84,Supplier 84,17
85,85,85,24,8,85,85,Supplier 85,17
86,86,86,2,10,86,86,Supplier 86,10
87,87,87,7,5,87,87,Supplier 87,13
88,88,88,44,7,88,88,Supplier 88,7
89,89,89,11,10,89,89,Supplier 89,14
90,90,90,28,13,90,90,Supplier 90,18
91,91,91,31,11,91,91,Supplier 91,19
92,92,92,1,7,92,92,Supplier 92,17
93,93,93,16,12,93,93,Supplier 93,17
94,94,94,18,12,94,94,Supplier 94,14
95,95,95,14,6,95,95,Supplier 95,10
96,96,96,21,13,96,96,Supplier 96,11
97,97,97,47,9,97,97,Supplier 97,9
98,98,98,47,14,98,98,Supplier 98,5
99,99,99,5,8,99,99,Supplier 99,13
100,100,100,33,8,100,100,Supplier 100,15
